date,cases_5001,cases_5360,cases_8001,cases_23001,cases_41001,cases_50001,cases_54001,cases_68001,cases_73001,cases_76001,temperature_76001,temperature_54001,temperature_50001,temperature_73001,temperature_68001,temperature_41001,temperature_23001,temperature_05001,temperature_05360,temperature_08001,precipitation_76001,precipitation_50001,precipitation_54001,precipitation_73001,precipitation_68001,precipitation_41001,precipitation_23001,precipitation_05360,precipitation_08001,precipitation_05001
2007-01-06,1,0,24,3,43,10,82,48,16,7,26.798994436904,28.71625314160717,30.49998746671596,24.94696448538922,30.527058540718183,26.80822704593042,31.544847512647763,18.89146664677193,19.472312009238426,32.404341742148176,2.351891884380356,0.0128013643501016,0.7182347050436437,0.6450175902066783,1.1934342286806303,0.1438946043343386,0.4403622787442744,1.1366096714515208,0.0,1.0875307703631325
2007-01-13,0,0,5,2,16,7,63,41,15,0,27.445338052557272,26.01482321173048,32.67914374017442,24.26414426724681,29.5039396810472,25.54038951634765,32.84203861727521,22.234262522627127,20.917338756143675,32.19558685044276,4.404587515717593,0.3463273293954073,2.3682500156680555,0.5292530733530149,1.4334760097150436,0.2475702761056304,0.0743969047143722,3.0675322949610555,0.0,3.071766425441967
2007-01-20,0,0,10,5,45,21,63,48,13,3,26.663906969246547,24.00181601792196,31.51561175400864,20.08317459730524,29.540389504438583,30.247845424180905,32.18097958765135,22.26875913747431,22.19878213883544,31.609415982436417,9.273446857807604,1.3993562605845344,4.830203297549901,2.710440607147975,0.9666422569816324,3.907707085312001,0.1515606776672875,0.018530383617454,0.0,0.2019747169821805
2007-01-27,0,0,29,7,32,19,70,56,12,4,28.1562019721556,27.88880179491618,33.214660202826096,23.46074695302909,28.28170529415748,29.739706780180665,32.14046353553754,23.546037436657564,27.959810863469063,33.316457869092666,6.406617394977706,0.4106289049679414,0.0,7.833753583543966,3.348654713202857,7.696362137606131,0.4130273544653852,2.2154598892967576,0.0,2.4062578590542083
2007-02-03,0,0,35,3,23,16,100,34,17,0,26.317673782318032,31.45489137175692,34.922635640515026,22.736029731045413,31.1063202497966,27.313508416205,32.51694278540891,25.3530714655832,28.22246032601166,32.42297341342525,0.0163226348582522,0.0,0.0,0.0,0.4463399687691127,0.4175551314420892,0.1152626082290336,0.0,0.0,0.0
2007-02-10,0,0,31,2,24,14,107,69,29,0,26.286594666598656,30.483763415300263,34.41974456319291,24.46224565832339,30.60299897073957,25.54949779400204,35.58758893478138,25.29134423278293,26.71943902616653,33.5388070592934,0.0,0.0,0.0050529193112951,0.0,1.1434304149482706,0.0307102508353105,0.012396597845806,0.028852810930366,0.0,1.046552451642887
2007-02-17,0,0,16,1,31,25,66,66,14,1,23.690578813274715,30.3068052848337,33.1473073637222,22.444523027872908,29.658045901142177,25.68800879298049,35.32125814935285,24.71922472916281,28.67712232402783,33.46434583187897,6.040738030501942,0.8091934020293111,1.9151490972876044,2.40358646029203,4.408630368794701,5.433070661352393,0.1433503935221178,2.994411885777768,0.0,1.4774712489283135
2007-02-24,0,0,4,2,39,34,73,56,25,3,26.35254966837311,29.73905788053697,33.448447971738176,26.437757401952275,31.64863069608333,28.34389333387205,37.46212882993861,25.926860347553006,29.045682274737107,34.81216451124668,0.1650550268915755,0.0293752277312702,2.403923644638462,1.3935011535581736,0.0758666619971791,0.1310350474724218,1.062574433567702,0.0,0.0,0.1984267926986513
2007-03-03,0,0,31,1,27,32,59,51,25,1,27.188057411950968,30.62776262591992,34.14034784363154,25.978767899211288,30.73432840511309,30.63435643386441,35.57753126997871,26.6769279995046,28.66843629752656,35.85457239544763,0.0275825084673609,2.5299597424423745,0.0154015116020788,0.669179930480144,1.093088780855815,1.5290513610837688,0.2062305149433494,1.2209409232428183,0.0,0.9983997414208112
2007-03-10,0,0,23,10,33,23,43,11,10,3,28.8815957232894,29.799988247462164,36.47669336720418,25.452138338808943,26.61172194487829,31.77577445530034,34.6260996628364,27.06151415236034,29.950441640378585,34.55954293133773,6.676714069195008,0.6380382620336167,0.4170490292288065,7.1386546778832125,7.658747835194492,2.840934196099208,2.4624441616672743,4.588747577006076,0.0,4.258744991173939
2007-03-17,0,0,21,2,13,27,51,47,29,2,32.00844106637674,30.987158726908287,32.19663625968982,27.72528024301487,30.72526741066331,27.796031272151023,34.90852182975214,26.74863717023567,29.36327582356534,33.83253658442552,7.74850494377325,2.786052143531752,1.813944636503447,5.497852111346538,2.072478170427603,7.475479735624737,0.3073114698238606,2.8794321138160264,0.197287328118255,3.641696641538444
2007-03-24,0,0,11,10,23,32,46,76,13,1,31.32415137051154,29.596555029476832,27.55522733955756,30.788721201269745,30.82886960390147,23.916458839883088,35.337432756470854,26.3535081365178,28.64283204186461,31.69013754375852,7.439609906429423,10.962133098250684,4.3003837795951485,4.093127926485935,3.62029117557644,6.120973155035605,0.8917482672718944,7.246209173378778,0.0,6.186611244145518
2007-03-31,0,0,5,0,20,42,57,57,22,4,30.552880884773764,28.315131912961284,29.01430150603729,27.0288617980098,29.96570220523395,24.572563571670848,36.28558869122561,17.001632763995882,26.12636930764641,36.49657381562097,8.598201010678057,16.321559105433472,11.348975436053676,10.124324810814754,8.234946446256101,9.517123498648132,5.2160346402989495,7.069925069932771,0.5346268074624007,7.503307935851112
2007-04-07,1,0,8,2,24,34,41,62,22,3,29.93047070030743,28.046363532636885,29.356976385697266,25.48432307214059,27.12367330718456,28.44962797446741,35.54192417040776,22.57687543743868,25.99821281277688,37.44362928087399,9.6338309748466,22.086688738052,6.593546834954494,7.98100018491396,5.555497464557768,12.423654334275268,9.51854456967346,10.977923806249878,0.8027761842388257,10.651594489960017
2007-04-14,0,0,8,2,42,54,33,95,17,1,29.08143241766924,29.252952581826143,29.095459713377945,24.99947339624729,26.985703584696104,28.12705313958524,33.49215257497163,25.82904757710185,23.48542340072852,36.09400347556577,5.0152498186742855,4.489920323484793,2.4934129365214788,4.02094300121941,2.026293665852106,4.823023201442616,8.587311372848491,8.883416902894014,1.944778657920479,8.518229942424155
2007-04-21,0,0,6,4,34,48,45,89,23,5,30.375935515828854,31.48896433458446,27.005056157090458,21.649792657906897,28.3616911009119,28.210800587487245,31.4734400466126,27.20426923365608,27.027841861975723,32.835908624588946,11.492623334114771,14.94241967341467,2.727876487320572,11.436099986396856,6.022424658080995,10.293419974713697,3.933724378840129,7.970870917415878,3.3829342161426075,6.540781732544412
2007-04-28,0,0,10,2,28,43,33,104,14,5,31.94906208878868,27.34027772115768,29.90094662992216,24.998048586214537,29.17956063410815,25.194792918832004,30.910497252152425,22.922356796621543,27.875971629662413,30.450074623707533,8.811823173602292,12.273804195139595,5.581620739895714,10.49273091954994,0.2246292577807437,8.95838334190378,5.190137230208747,10.169351177415477,2.888057136312537,8.733750983618023
2007-05-05,1,0,15,1,22,47,42,112,4,6,27.59364721591156,29.58023458717179,31.91582739113729,25.982178172024533,30.335078897843808,27.428704574142834,30.261747092912845,25.296921894099093,28.40109392452788,31.863170731707346,8.873072002579443,17.41851262460514,2.729404953899381,6.5830313523978585,1.7015205106065754,0.820164331307972,4.919648231802399,7.100101526122786,1.115969646470812,6.773995621503545
2007-05-12,0,0,11,2,44,54,39,117,12,7,30.04500342487265,30.86797920915768,29.45959586656988,21.45735852540398,27.92576376136978,22.09696016558217,32.532102784608774,21.467952590510947,30.17235597038564,32.14986062717772,3.568420550671338,20.2961821790319,3.3446594819679896,9.76631212853491,2.857267201527788,3.59287474460961,4.875053643049453,9.044273413164106,3.7634180748111454,8.122713924344849
2007-05-19,0,0,20,4,42,59,35,127,15,5,28.58030009640272,28.20773849492852,28.487996937952754,24.069980077919187,29.696777392323288,25.32107690168592,30.92699020132765,25.564114312422188,27.96359483834491,30.890436300089863,9.90662334158492,14.878710932556464,4.712615951468807,8.73899286870169,4.558296877643155,4.780490426506063,6.963529135780399,12.247995982667833,6.069489490895897,11.91910345592468
2007-05-26,0,0,16,5,27,62,24,150,14,4,27.779630774260884,27.89352874892697,24.485535130441583,22.92736957260733,28.01722234757889,20.00825268745854,30.0042330698527,24.85956120434093,26.62057777943569,30.257545188500632,12.06365050918919,11.68582421385644,4.200598788080943,6.865782415524974,5.482065624494242,7.809048016703266,8.44842381768005,17.65455210867352,4.765087835394581,17.24720290205663
2007-06-02,0,0,7,7,37,43,29,156,14,4,27.661216242364567,28.476395880048404,19.000432994573234,21.717819860989326,25.621140439816315,20.984241734847064,30.17936584233181,24.799526041545896,28.39239645327961,28.9309704889344,8.915035931285752,19.61651442365831,7.464855536782464,9.02064457988504,4.113565771796606,10.358985593827525,5.455457100741883,9.934646218989794,5.470543892038398,10.41239980240215
2007-06-09,0,0,39,2,46,60,6,135,15,7,27.962370280709404,30.269849941927056,25.41617400754411,26.162949219363043,28.61511686327611,23.600621709108143,30.59955365726556,24.64187316561832,27.62303149683843,33.62609090910007,2.89774986038226,24.719665597947053,3.3289974871072885,10.612411626723375,3.144814623031204,7.171992985419066,10.196786207965252,7.173583613527293,4.4624385668417,5.850373831821663
2007-06-16,0,0,19,3,30,56,46,140,21,15,22.8401324575844,31.619711658457312,26.08934446215808,23.30802541628325,29.51304883816388,25.354071012267163,29.588072270603764,22.987469078817497,29.7484992746453,30.21602676416961,1.914932557150404,14.28863681123759,0.6462310856199043,0.1335315949773707,0.0,1.4905014338216895,4.882916310594995,0.0,2.1668088838015707,0.1516491848641885
2007-06-23,0,0,32,2,47,89,48,148,16,3,28.58909217555896,28.4929096064008,25.811627415458968,27.38346191855199,31.6101643177943,24.6938823356832,27.05155845837525,23.034540491501367,29.01190865491384,30.08838141220607,0.3823554856215466,26.54379555647993,2.5017693247108217,0.0132892278072161,1.564362041597845,0.2340671810803791,10.544477224202897,1.8888231180689168,0.67620414879436,2.2997231493962267
2007-06-30,0,0,48,1,29,90,51,164,30,1,30.475545919002457,29.05934799931695,25.811627415458968,25.26523437380567,27.706750056453632,23.43082207715818,27.40734884773345,22.796705903159665,26.21613126870017,30.635268824883493,2.451852269661084,0.1055222439839606,1.8164942138739903,0.0953229447525188,2.0799624977390865,0.0723493057856218,10.971884871589314,2.5663986874531672,1.1176630021091472,2.004477992659208
2007-07-07,0,0,62,1,44,66,41,153,3,1,26.285037178937607,30.962986401197416,26.22917348164853,25.165246654715936,24.501516018380407,25.85447550933521,29.168117287081152,24.90510337120845,28.76433886882632,34.30383685634125,0.0,3.731163616175388,2.0038291230873866,0.0,1.0435641576139874,0.0,7.435818990986562,0.0,0.6080108548847895,0.0
2007-07-14,1,0,105,0,30,53,60,175,24,1,25.735961022180003,28.90967658967584,26.185302349584983,26.770683844352074,26.49737150342701,24.759361784689045,29.560896736939902,22.36029263650309,27.32254907188982,32.186023352288835,1.9180264261654,6.768054420651475,1.2679949389136185,3.246127556942537,3.672863628568987,1.828346524188996,6.134442149154301,6.893188130916341,1.3187596984357304,6.322895213234423
2007-07-21,0,0,62,5,34,47,73,199,22,1,27.216033730601787,32.964987387923365,27.783620388741216,27.942824799983,30.79033860207195,29.300141697095142,26.675163904504547,21.389051075130048,27.351320425673684,32.42758724726252,3.5090017351352256,20.12365230256217,1.9831517149893,5.567156104855775,0.4243483866692814,2.339133069389817,5.641403272007194,9.277693476963735,1.8933635815083127,8.323205234928698
2007-07-28,0,0,102,3,50,44,63,196,38,0,25.92912011734532,31.741194838335208,28.500727346519664,20.49965817915232,30.231073467019822,27.529052126241105,27.9452017674696,21.858806835677694,25.706404890664523,29.806472813782594,4.1216473556493805,18.154328237113567,2.5130758123826467,8.01810518302089,3.4128106724850062,5.470628946759023,3.899108582488975,10.534857414721229,6.657764494798141,8.321552981580018
2007-08-04,0,0,78,11,36,44,53,160,23,1,28.28944416915586,29.725149875547825,28.5603857470282,22.961758129763343,28.16733449193273,29.463869040757977,30.556385209564173,23.45930143656914,27.9164007839808,33.553000892373184,4.680074748336617,0.4819878721448983,3.8212675605270654,0.6651009220597025,2.790240033934156,0.0201522226059253,8.20040186528162,1.4394287753066894,0.3802984511423575,1.5903537943375483
